First Level Heading,Second Level Heading,Third Level Heading,Definition (Simplified),Definition (Traditional HK)
人口学词典,章节 2 • 人口统计资料的加工整理,228,计算机(225-2)处理数据要经历三个主要阶段。第一个阶段是数据输入1 (data entry或input) ，可以使用联机2 (on line) 设备如键盘控制台(227-8)进行。已经存贮在计算机中的数据，既可以经由中央存贮器(226-2)存取，也可以经由大容量存贮装置(226-3)存取，并将之用作输入数据。这是数据收集3 (data collection) 的一部分，从提取(220-1)到电子介质上的转录，通过有效性检查(221-7)和一致性检查(221-8)。这两种检查可以在数据输入期间在线工作时进行。第二个阶段是处理(220-2)，可以分为两种主要类型：数值处理4 (numerical processing) 和非数值处理5 (non-numerical processing) 。统计和算术计算通常属于数值处理运算，数据控制操作则主要是非数值处理。第三个阶段，有时称之为输出阶段。在这一阶段中，可以把处理结果6 (processed results) 或输出6 (output) 打印在行式打印机(227-6)上，也可以将其作为文件贮存在大容量存贮装置(226-3)中，以备进一步处理。也可以把结果输入绘图机7 (plotter) ，从而将处理结果以图或象形的方式表达出来。,章節 2 • 人口統計資料的加工整理,計算機(225-2)處理數據要經歷三個主要階段。第一個階段是數據輸入1 (data entry或input) ，可以使用聯機2 (on line) 設備如鍵盤控制枱(227-8)進行。已經存貯在計算機中的數據，既可以經由中央存貯器(226-2)存取，也可以經由大容量存貯裝置(226-3)存取，並將之用作輸入數據。這是數據收集3 (data collection) 的一部分，從提取(220-1)到電子介質上的轉錄，通過有效性檢查(221-7)和一致性檢查(221-8)。這兩種檢查可以在數據輸入期間在線工作時進行。第二個階段是處理(220-2)，可以分為兩種主要類型：數值處理4 (numerical processing) 和非數值處理5 (non-numerical processing) 。統計和算術計算通常屬於數值處理運算，數據控制操作則主要是非數值處理。第三個階段，有時稱之為輸出階段。在這一階段中，可以把處理結果6 (processed results) 或輸出6 (output) 打印在行式打印機(227-6)上，也可以將其作為文件貯存在大容量存貯裝置(226-3)中，以備進一步處理。也可以把結果輸入繪圖機7 (plotter) ，從而將處理結果以圖或象形的方式表達出來。
人口学词典,章节 2 • 人口统计资料的加工整理,230,"人口统计的准确程度1 (accuracy) ，除了其他因素以外，还取决于对个人、集体或作为其基础事件计数的完整程度2 (completeness) 。遗漏3 (omission) 和漏报3 (undercount) 会造成估计偏低4 (underestimation) ，而重报5 (multiple counting) 则会造成估计偏高6 (overestimation) 。其他的错误包括某一特征(如年龄)的误报7 (misreporting) 和分类错误8 (classification errors) 。这样的误差，有时可以通过事后质量抽查9 (post-enumeration survey) 或质量检查10 (quality checks) 查找出来。有时候，某些问题未得到回答或回答得不够充分，都可能造成相当大的误差。对于这类误差，可在无回应11 (nonresponse) 、未报11 (not stated) 、不详11 (unknown) 、未声明11 (undeclared) 、未指定11 (not specified) 、定义不清11 (poorly defined) 、错误指定11 (misspecified) 等等一栏中的频数表示出来。
备注：Completeness，“完整的”和“完整程度”这两个词，在这里是用来表示不存在遗漏。这两个词也可以用来表示202—4所指的覆盖程度。 生命登记中某些事件的遗漏叫作漏登，而普查或调查中的某些事件的遗漏，则叫作漏查。 双重计数一词，经常用于这一涵义。",章節 2 • 人口統計資料的加工整理,"人口統計的準確程度1 (accuracy) ，除了其他因素以外，還取決於對個人、集體或作為其基礎事件計數的完整程度2 (completeness) 。遺漏3 (omission) 和漏報3 (undercount) 會造成估計偏低4 (underestimation) ，而重報5 (multiple counting) 則會造成估計偏高6 (overestimation) 。其他的錯誤包括某一特徵(如年齡)的誤報7 (misreporting) 和分類錯誤8 (classification errors) 。這樣的誤差，有時可以通過事後質量抽查9 (post-enumeration survey) 或質量檢查10 (quality checks) 查找出來。有時候，某些問題未得到回答或回答得不夠充分，都可能造成相當大的誤差。對於這類誤差，可在無回應11 (nonresponse) 、未報11 (not stated) 、不詳11 (unknown) 、未聲明11 (undeclared) 、未指定11 (not specified) 、定義不清11 (poorly defined) 、錯誤指定11 (misspecified) 等等一欄中的頻數表示出來。
備註：Completeness，“完整的”和“完整程度”這兩個詞，在這裏是用來表示不存在遺漏。這兩個詞也可以用來表示202—4所指的覆蓋程度。 生命登記中某些事件的遺漏叫作漏登，而普查或調查中的某些事件的遺漏，則叫作漏查。 雙重計數一詞，經常用於這一涵義。"
人口学词典,章节 3 • 人口的分布和分类,301,人口统计通常是按照人口的地理分布1 (geographical distribution of the population) 或者人口的空间分布1 (spatial distribution of the population) 列出，而且也按结构(144-4)列出。每一个人口都居住在一定的地区2 (area) 或者一定的领土2 (territory) (305-6)内。研究人口的地理分布3 (geographical distribution) 或称空间分布3 (spatial distribution) ，就是去认识人口是怎样分布于领土之上的。,章節 3 • 人口的分佈和分類,人口統計通常是按照人口的地理分佈1 (geographical distribution of the population) 或者人口的空間分佈1 (spatial distribution of the population) 列出，而且也按結構(144-4)列出。每一個人口都居住在一定的地區2 (area) 或者一定的領土2 (territory) (305-6)內。研究人口的地理分佈3 (geographical distribution) 或稱空間分佈3 (spatial distribution) ，就是去認識人口是怎樣分佈於領土之上的。
人口学词典,章节 3 • 人口的分布和分类,302,人口居住的领土(301-2)，通常划分为一些更小地区1 (sub-areas) 。为了便于行政管理，领土可以划分为行政地区2 (administrative areas) 、行政单位2 (administrative units) 或行政区2 (administrative districts) ，行政区有时叫作法定分区2 (legal divisions) 或叫作政治分区2 (political divisions) 。另一方面，地理学家可以把地区划分为区域3 (regions) 或地带4 (zones) 。区域或地带可以同行政单位一致，也可以不一致。“区域”或“地带”这类词，可以用于很多不同的含义，而其面积大小，可以相差悬殊。因此，人们可以说，极区、气候区或者大都市区。地理学家还使用自然区5 (natural region) 和经济区6 (economic region) 等术语。在人类生态学(104-5)中，使用自然地区7 (natural area) 一词来表示由某一人口所居住的一个具有明显特征的地区。,章節 3 • 人口的分佈和分類,人口居住的領土(301-2)，通常劃分為一些更小地區1 (sub-areas) 。為了便於行政管理，領土可以劃分為行政地區2 (administrative areas) 、行政單位2 (administrative units) 或行政區2 (administrative districts) ，行政區有時叫作法定分區2 (legal divisions) 或叫作政治分區2 (political divisions) 。另一方面，地理學家可以把地區劃分為區域3 (regions) 或地帶4 (zones) 。區域或地帶可以同行政單位一致，也可以不一致。“區域”或“地帶”這類詞，可以用於很多不同的含義，而其面積大小，可以相差懸殊。因此，人們可以説，極區、氣候區或者大都市區。地理學家還使用自然區5 (natural region) 和經濟區6 (economic region) 等術語。在人類生態學(104-5)中，使用自然地區7 (natural area) 一詞來表示由某一人口所居住的一個具有明顯特徵的地區。
人口学词典,章节 3 • 人口的分布和分类,303,"行政单位在各个国家是不一样的，即使在同一国家，不同时间也可能不一样。因此，行政单位一词可能包含不同的情况。次级行政区有镇1 (townships) 和教区1 (parishes) ；主要行政区有州2 (states) 或省2 (provinces) ；而介于上述两者之间的行政单位，通常叫作县5 (countties) 和区6 (districts) 。例如，在加拿大，其主要行政地区，按其大小由小到大依次排列为：镇8 (township) 、县9 (county) 和省10 (province) 。而法国的主要行政区包括与省对应的区域2 (regions) 和与瑞士的州4 (cantons) 相对应的部门3 (cantons) 。在瑞士，区7 (districts) 和圈11 (circles) 是更小的行政区。在美国，教区相当于县，是乡和城市之上、州之下的单位。
备注：村、镇和城市，有时是赋予较小行政单位的另外名称。市通常是表述次级行政区的词语。",章節 3 • 人口的分佈和分類,"行政單位在各個國家是不一樣的，即使在同一國家，不同時間也可能不一樣。因此，行政單位一詞可能包含不同的情況。次級行政區有鎮1 (townships) 和教區1 (parishes) ；主要行政區有州2 (states) 或省2 (provinces) ；而介於上述兩者之間的行政單位，通常叫作縣5 (countties) 和區6 (districts) 。例如，在加拿大，其主要行政地區，按其大小由小到大依次排列為：鎮8 (township) 、縣9 (county) 和省10 (province) 。而法國的主要行政區包括與省對應的區域2 (regions) 和與瑞士的州4 (cantons) 相對應的部門3 (cantons) 。在瑞士，區7 (districts) 和圈11 (circles) 是更小的行政區。在美國，教區相當於縣，是鄉和城市之上、州之下的單位。
備註：村、鎮和城市，有時是賦予較小行政單位的另外名稱。市通常是表述次級行政區的詞語。"
人口学词典,章节 3 • 人口的分布和分类,304,人口可以是定居的1 (settled、sedentary) 或者是游牧的2 (nomadic) 。游牧人口是指在一定地区内迁来迁去而没有固定住所的人。逐步过渡为定居的游牧人口叫作半游牧的3 (semi-nomadic) 。有时候，未开化的民族可以拥有专门划归自己的一块领地，叫作土著保留地4 (native reserve) 或叫作保留地4 (reservation) 。,章節 3 • 人口的分佈和分類,人口可以是定居的1 (settled、sedentary) 或者是遊牧的2 (nomadic) 。遊牧人口是指在一定地區內遷來遷去而沒有固定住所的人。逐步過渡為定居的遊牧人口叫作半遊牧的3 (semi-nomadic) 。有時候，未開化的民族可以擁有專門劃歸自己的一塊領地，叫作土著保留地4 (native reserve) 或叫作保留地4 (reservation) 。
人口学词典,章节 3 • 人口的分布和分类,305,国家1 (country) 通常是指一个[人民2 (people) 或民族2 (nation) ](参阅333-3) 的领土(301-2)。一般来说，属于一个民族的人有着共同的文化。一个邦3 (state) (state)指的是一个政治实体。英文中state一词这里有两种意义：作为邦是对其领土有完全自主权和对其居民有完全统治权的实体；作为州，有一些联邦4 (federations) 或者联邦国家4 (federal states) 所划分的较小单位叫作州5 (state) ，这些州的主权则不是绝对的(如美国和澳大利亚)。领土6 (territory) (301-2)一词，通常表示一个地理区域，但有时也用来表示不久前才定居下来的一个政治单位。有时还区分为自治领土7 (self-governing territories) 和非自治领土8 (non-self-governing territories) 。,章節 3 • 人口的分佈和分類,國家1 (country) 通常是指一個[人民2 (people) 或民族2 (nation) ](參閲333-3) 的領土(301-2)。一般來説，屬於一個民族的人有着共同的文化。一個邦3 (state) (state)指的是一個政治實體。英文中state一詞這裏有兩種意義：作為邦是對其領土有完全自主權和對其居民有完全統治權的實體；作為州，有一些聯邦4 (federations) 或者聯邦國家4 (federal states) 所劃分的較小單位叫作州5 (state) ，這些州的主權則不是絕對的(如美國和澳大利亞)。領土6 (territory) (301-2)一詞，通常表示一個地理區域，但有時也用來表示不久前才定居下來的一個政治單位。有時還區分為自治領土7 (self-governing territories) 和非自治領土8 (non-self-governing territories) 。
人口学词典,章节 3 • 人口的分布和分类,306,"在一个领土(301-2)之内，不同的人口集聚情况可以有不同的术语来表示，例如集居点1 (conglomerations) 、聚居点1 (aggregations) 、或人口聚居点1 (population aggregates或population clusters，localities) 等。在农村地区，最小的单位是庄2 (hamlet) ，庄通常只有很少的人家。比庄稍大的集居点是村3 (village) 。村通常是一个小社区，居民主要是农业人口。镇4 (town) 和市4 (city) (305-1)是更大的集居点。一般来说，在这样的集居点中，很少有人从事农业，但是从村转变为城镇或城市的标准却难以说明，而且各个国家的规定也不相同。领土的政府所在地叫作首都5 (capital) 。在一个县内，县政府所在地叫作县城6 (county town) 或县中心6。镇和市还可以划分为区7 (districts或quarters) ，为了选举也可以另划出选区7 (wards) 。
备注：agglomeration一词也用来表示聚居点。可参阅307-1。 很大的城市一般称为大都会。",章節 3 • 人口的分佈和分類,"在一個領土(301-2)之內，不同的人口集聚情況可以有不同的術語來表示，例如集居點1 (conglomerations) 、聚居點1 (aggregations) 、或人口聚居點1 (population aggregates或population clusters，localities) 等。在農村地區，最小的單位是莊2 (hamlet) ，莊通常只有很少的人家。比莊稍大的集居點是村3 (village) 。村通常是一個小社區，居民主要是農業人口。鎮4 (town) 和市4 (city) (305-1)是更大的集居點。一般來説，在這樣的集居點中，很少有人從事農業，但是從村轉變為城鎮或城市的標準卻難以説明，而且各個國家的規定也不相同。領土的政府所在地叫作首都5 (capital) 。在一個縣內，縣政府所在地叫作縣城6 (county town) 或縣中心6。鎮和市還可以劃分為區7 (districts或quarters) ，為了選舉也可以另劃出選區7 (wards) 。
備註：agglomeration一詞也用來表示聚居點。可參閲307-1。 很大的城市一般稱為大都會。"
人口学词典,章节 3 • 人口的分布和分类,307,"相邻的一些集居点相互连合可能会发展成一些连绵不断的地区。虽然这些集居点在行政上仍然保持独立，而实际上则组成了一个城镇集群1 (urban agglomeration) ,其中有一座中心城市2 (central city) 和一些具有不同功能的郊区3 (suburbs) 。都会地区4 (metropolitan area或conurbation) 通常是用来表示许多在地理上尽管相邻，但却保持各自独立性的城市群。几个都会地区的合并可能会发展成特级城市5 (megalopolis) 或城镇都会地带5 (metropolitan belt) 。大都市区6 (metropolitan regions) 可以指包括通勤带的聚集区。
备注：用作中心城市同义词的词语是城镇核心。 郊区化 ：大城市郊区人口迅速增长的过程。邻近大城市的人口密集地区叫作城镇边缘，城乡定居地区的过渡地带，叫作城乡结合地带或远郊区。 城镇人口可以按需要另外划分成不同城镇统计区，如标准都会统计区(美国)、居民密集区(日本)和集合城市(英国)。",章節 3 • 人口的分佈和分類,"相鄰的一些集居點相互連合可能會發展成一些連綿不斷的地區。雖然這些集居點在行政上仍然保持獨立，而實際上則組成了一個城鎮集羣1 (urban agglomeration) ,其中有一座中心城市2 (central city) 和一些具有不同功能的郊區3 (suburbs) 。都會地區4 (metropolitan area或conurbation) 通常是用來表示許多在地理上儘管相鄰，但卻保持各自獨立性的城市羣。幾個都會地區的合併可能會發展成特級城市5 (megalopolis) 或城鎮都會地帶5 (metropolitan belt) 。大都市區6 (metropolitan regions) 可以指包括通勤帶的聚集區。
備註：用作中心城市同義詞的詞語是城鎮核心。 郊區化 ：大城市郊區人口迅速增長的過程。鄰近大城市的人口密集地區叫作城鎮邊緣，城鄉定居地區的過渡地帶，叫作城鄉結合地帶或遠郊區。 城鎮人口可以按需要另外劃分成不同城鎮統計區，如標準都會統計區(美國)、居民密集區(日本)和集合城市(英國)。"
人口学词典,章节 3 • 人口的分布和分类,310,"在普查时，常住人口1 (resident population, dejure population) 和现住人口2 (actual population, de facto population) 应加以区别。常住人口指的是经常住在该地区的人口，既包括普查日在场的永久居民3 (permanent residents) ，也包括常住居民中的临时外出者4 (temporary absentees) 。现住人口即普查日那一天住在该地区的人，包括当地居民、外来者5 (visitors) 和临时过境者5 (transients) 。就全国来看，这两种方法调查的结果不会完全相同。一个人居住的地方叫作居住地6 (place of residence) 。为了行政上的原因，对共同生活在大社区或团体中的人通常要分别调查，例如寄宿学校中的学生、军营中的军事人员、囚犯等(参阅110-5*)，这样的人构成了单位集体人口7 (institutional population) 。流浪者8 (vagrants) 和无固定住所的人8 (persons of no fixed abode) 需要根据专门的规定进行查点。
备注：正式居住地一词是法定住所的法律术语，来表示一个人在法律上应该居住的地方。该地方可能与其实际住所不相同，在美国，正式居住地人口是指常住地的人口。 在美国，单位管辖人一词专指生活在教养机构中的人，住在精神病院和结核病院中的病人，住在收容所中的老年入、残疾人、受赡养者和无人照管的人；其他集体住所的居包括学校宿舍中的学生和军营中的士兵。",章節 3 • 人口的分佈和分類,"在普查時，常住人口1 (resident population, dejure population) 和現住人口2 (actual population, de facto population) 應加以區別。常住人口指的是經常住在該地區的人口，既包括普查日在場的永久居民3 (permanent residents) ，也包括常住居民中的臨時外出者4 (temporary absentees) 。現住人口即普查日那一天住在該地區的人，包括當地居民、外來者5 (visitors) 和臨時過境者5 (transients) 。就全國來看，這兩種方法調查的結果不會完全相同。一個人居住的地方叫作居住地6 (place of residence) 。為了行政上的原因，對共同生活在大社區或團體中的人通常要分別調查，例如寄宿學校中的學生、軍營中的軍事人員、囚犯等(參閲110-5*)，這樣的人構成了單位集體人口7 (institutional population) 。流浪者8 (vagrants) 和無固定住所的人8 (persons of no fixed abode) 需要根據專門的規定進行查點。
備註：正式居住地一詞是法定住所的法律術語，來表示一個人在法律上應該居住的地方。該地方可能與其實際住所不相同，在美國，正式居住地人口是指常住地的人口。 在美國，單位管轄人一詞專指生活在教養機構中的人，住在精神病院和結核病院中的病人，住在收容所中的老年入、殘疾人、受贍養者和無人照管的人；其他集體住所的居包括學校宿舍中的學生和軍營中的士兵。"
人口学词典,章节 3 • 人口的分布和分类,311,"在很多国家中，把人口数低于某一水平(比如2000人)的行政区定为乡村地区1 (rural area) ，其他地区则称为城镇地区2 (urban areas) 。乡村人口3 (rural population) 就是住在乡村地区的人口，城镇人口4 (urban population) 则是住在城镇地区的人口。把某一地区的人口分别划为城镇人口和乡村人口的规定，各个国家是不一样的。有些乡村人口和城镇人口的定义可能会形成一个叫作半城镇人口5 (semi-urban population) 的中间类别。{{Note|3| [*NoteTerm!!乡村化!!ruralization*]指住在乡村地区的人口比例增长。不要把乡村人口同农业人口或农场人口(359-2)相混淆。}}
备注：城镇化指住在城镇地区的人口比例增长。",章節 3 • 人口的分佈和分類,"在很多國家中，把人口數低於某一水平(比如2000人)的行政區定為鄉村地區1 (rural area) ，其他地區則稱為城鎮地區2 (urban areas) 。鄉村人口3 (rural population) 就是住在鄉村地區的人口，城鎮人口4 (urban population) 則是住在城鎮地區的人口。把某一地區的人口分別劃為城鎮人口和鄉村人口的規定，各個國家是不一樣的。有些鄉村人口和城鎮人口的定義可能會形成一個叫作半城鎮人口5 (semi-urban population) 的中間類別。{{Note|3| [*NoteTerm!!鄉村化!!ruralization*]指住在鄉村地區的人口比例增長。不要把鄉村人口同農業人口或農場人口(359-2)相混淆。}}
備註：城鎮化指住在城鎮地區的人口比例增長。"
人口学词典,章节 3 • 人口的分布和分类,312,人口密度1 (density of population 或 population density) 是表示人口同其居住地区面积之间关系的一个指标。最简单的密度指标2 (density index) 是总人口除以领土面积，通常用每英亩人数、每平方公里人数或者每平方英里人数表示。人口分散程度3 (scatter of the population) ，取决于定居4 (settlement) 、群体定居5 (grouped settlement) 或分散定居6 (dispersed settlement) 的型式。有些作者使用应用数学中求重心的方法来计算一定地区的人口中心7 (population center) ；计算时，每个人的权数都一样。,章節 3 • 人口的分佈和分類,人口密度1 (density of population 或 population density) 是表示人口同其居住地區面積之間關係的一個指標。最簡單的密度指標2 (density index) 是總人口除以領土面積，通常用每英畝人數、每平方公里人數或者每平方英里人數表示。人口分散程度3 (scatter of the population) ，取決於定居4 (settlement) 、羣體定居5 (grouped settlement) 或分散定居6 (dispersed settlement) 的型式。有些作者使用應用數學中求重心的方法來計算一定地區的人口中心7 (population center) ；計算時，每個人的權數都一樣。
人口学词典,章节 3 • 人口的分布和分类,313,有时当需要比较不同人口的居住密度，而且还要考虑除面积以外的其他因素时，则要计算比较密度指标1 (comparative density indices) 。这样的指标有很多种。其中可以提到以下一些：每单位可耕地的人口密度2 (density of population per unit of cultivable area) 和每单位可耕地的农业人口密度3 (density of the agricultural population per unit of cultivable area) 。有时候，这两个指标按耕地面积4 (cultivated area) 计算，而不按可耕地面积5 (cultivable area) 计算。人口密度也可以用人口同全部经济资源之比来表示；例如可以考虑计算最大潜在密度6 (maximum potential density) 或承载人口能力6 (population carrying capacity) 以表示资源及其所能供养的最多人口之间的关系。人口理论中还使用适度密度7 (optimum density) 的概念。适度密度就是在一定资源条件下，可使人均实际收入达到最高的那种密度。,章節 3 • 人口的分佈和分類,有時當需要比較不同人口的居住密度，而且還要考慮除面積以外的其他因素時，則要計算比較密度指標1 (comparative density indices) 。這樣的指標有很多種。其中可以提到以下一些：每單位可耕地的人口密度2 (density of population per unit of cultivable area) 和每單位可耕地的農業人口密度3 (density of the agricultural population per unit of cultivable area) 。有時候，這兩個指標按耕地面積4 (cultivated area) 計算，而不按可耕地面積5 (cultivable area) 計算。人口密度也可以用人口同全部經濟資源之比來表示；例如可以考慮計算最大潛在密度6 (maximum potential density) 或承載人口能力6 (population carrying capacity) 以表示資源及其所能供養的最多人口之間的關係。人口理論中還使用適度密度7 (optimum density) 的概念。適度密度就是在一定資源條件下，可使人均實際收入達到最高的那種密度。
人口学词典,章节 3 • 人口的分布和分类,320,"人口的性别结构1 (sex structure) 或性别分布1 (sex distribution) ,，可以用每个性别2 (sex) 的总人数与总人口之比来计算，更常见的是用一个性别的总人数与另一性别的总人数之比来计算。假如以男性作为分子就称之为人口的男性比重3 (masculinity) 。男性比例4 (masculinity proportion) 是男人占总人口的比例。性别比5 (sex ratio) 是男性人数与女性人数之比；通常用一个指数值(132-7)来表示，即每百个女人的男人人数。
备注：当这个比的分子是女性人口，所计算的则是人口的女性比重。",章節 3 • 人口的分佈和分類,"人口的性別結構1 (sex structure) 或性別分佈1 (sex distribution) ,，可以用每個性別2 (sex) 的總人數與總人口之比來計算，更常見的是用一個性別的總人數與另一性別的總人數之比來計算。假如以男性作為分子就稱之為人口的男性比重3 (masculinity) 。男性比例4 (masculinity proportion) 是男人佔總人口的比例。性別比5 (sex ratio) 是男性人數與女性人數之比；通常用一個指數值(132-7)來表示，即每百個女人的男人人數。
備註：當這個比的分子是女性人口，所計算的則是人口的女性比重。"
人口学词典,章节 3 • 人口的分布和分类,321,在人口学中，为了表示包括儿童(323-3)在内的每个性别所有年龄的人，通常用男性1 (males) 和女性2 (females) 这两个词来代替男人1 (men) 和女人2 (women) 。与此类似，也用男童3 (male child) 和女童4 (female child) 这两个词来代替男孩3 (boy) 和女孩4 (girl) 。人（man）一词也用于指一般意义上的人类5 (human being) 。,章節 3 • 人口的分佈和分類,在人口學中，為了表示包括兒童(323-3)在內的每個性別所有年齡的人，通常用男性1 (males) 和女性2 (females) 這兩個詞來代替男人1 (men) 和女人2 (women) 。與此類似，也用男童3 (male child) 和女童4 (female child) 這兩個詞來代替男孩3 (boy) 和女孩4 (girl) 。人（man）一詞也用於指一般意義上的人類5 (human being) 。
人口学词典,章节 3 • 人口的分布和分类,322,"年龄1 (age) 是人口结构的又一基本特征。年龄通常用年数来表示，或者用年数和月数来表示；对于非常小的孩子的年龄，则可以只用月数和日数来表示，或者用带小数点的年数来表示。人口学家通常只用整年2 (complete years) 数来表示年龄，称之为上个生日的年龄3 (age at last birthday) 。有时候，人口统计指的是在该年中到达的年龄4 (age reached during the year) 。如果象某些保险统计中那样，把不满一整年的那一部分当作一整年，则称为虚岁或下个生日的年龄5 (age at next birthday) 。在普查或生命登记中，往往把申报的年龄6 (stated age 或 reported age) 进位到下一个整数，特别是下一个生日接近的时候。整数年龄7 (exact age) 是用来表示一个人过生日那一天的年龄，特别是在生命表计算中。普查项目中的年龄有的是询问出生日期，有时问周岁年龄，也有只问年龄，而不作详细规定。当人们不清楚自己的年龄时，可以用一张历史大事记表8 (historical calender) 来估算年龄。所谓历史大事记表就是一张包括被调查人一生当中曾经发生过的有日期可查的事件的一览表。
备注：因此，年龄组(325-2)通常以整岁表示，所以6—13岁年龄组包括所有整数年龄(322-7)介于6岁整和14岁整之间的人。",章節 3 • 人口的分佈和分類,"年齡1 (age) 是人口結構的又一基本特徵。年齡通常用年數來表示，或者用年數和月數來表示；對於非常小的孩子的年齡，則可以只用月數和日數來表示，或者用帶小數點的年數來表示。人口學家通常只用整年2 (complete years) 數來表示年齡，稱之為上個生日的年齡3 (age at last birthday) 。有時候，人口統計指的是在該年中到達的年齡4 (age reached during the year) 。如果象某些保險統計中那樣，把不滿一整年的那一部分當作一整年，則稱為虛歲或下個生日的年齡5 (age at next birthday) 。在普查或生命登記中，往往把申報的年齡6 (stated age 或 reported age) 進位到下一個整數，特別是下一個生日接近的時候。整數年齡7 (exact age) 是用來表示一個人過生日那一天的年齡，特別是在生命表計算中。普查項目中的年齡有的是詢問出生日期，有時問週歲年齡，也有隻問年齡，而不作詳細規定。當人們不清楚自己的年齡時，可以用一張歷史大事記表8 (historical calender) 來估算年齡。所謂歷史大事記表就是一張包括被調查人一生當中曾經發生過的有日期可查的事件的一覽表。
備註：因此，年齡組(325-2)通常以整歲表示，所以6—13歲年齡組包括所有整數年齡(322-7)介於6歲整和14歲整之間的人。"
人口学词典,章节 3 • 人口的分布和分类,323,"人口学借用了日常语言中一些词语来表示不同的生命阶段1 (stages of life) 或一个大致的年龄范围。生命的早期阶段是儿童期2 (childhood) 。一般来说，儿童3 (child) 是指尚未达到青春期(620-2)的人。儿童在其生命初期，叫作新生儿4 (newborn) 。哺乳期儿童5 (child at the breast, nurseling或suckling) 是指尚未断奶的儿童。婴儿6 (infant) 一词，可以用来表示不到一周岁的孩子，不过在日常语言中，这个词也可用来表示稍大一些的儿童。尚未达到必须入学年龄的儿童，叫作学龄前儿童7 (pre-school children) ，学龄儿童8 (school-age child) 是指已长到应该去上学年龄的儿童。",章節 3 • 人口的分佈和分類,"人口學借用了日常語言中一些詞語來表示不同的生命階段1 (stages of life) 或一個大致的年齡範圍。生命的早期階段是兒童期2 (childhood) 。一般來説，兒童3 (child) 是指尚未達到青春期(620-2)的人。兒童在其生命初期，叫作新生兒4 (newborn) 。哺乳期兒童5 (child at the breast, nurseling或suckling) 是指尚未斷奶的兒童。嬰兒6 (infant) 一詞，可以用來表示不到一週歲的孩子，不過在日常語言中，這個詞也可用來表示稍大一些的兒童。尚未達到必須入學年齡的兒童，叫作學齡前兒童7 (pre-school children) ，學齡兒童8 (school-age child) 是指已長到應該去上學年齡的兒童。"
人口学词典,章节 3 • 人口的分布和分类,324,"儿童期之后为少青年期1 (adolescence) 或青年期1 (youth) ，它从达到青春期(620-2)开始。少青年2 (adolescents) 或年轻人3 (young persons) 二词用来表示介于儿童期和成年人4 (adult age) 之间的男女。达到成熟期4 (maturity) 的人，叫作成年人5 (adults) 。老年6 (old age) 常常用来指大多数人在此时将要退休的那一生命时期。在此退休年龄7 (retirement age) 以上的人，叫作老年人8 (old people, the aged 或 the elderly) 。
备注：青年期一词也用作集合词。当它是作单数用时，通常是指男性。在美国，青少年是指十几岁的人，即13岁至19岁之间的人。",章節 3 • 人口的分佈和分類,"兒童期之後為少青年期1 (adolescence) 或青年期1 (youth) ，它從達到青春期(620-2)開始。少青年2 (adolescents) 或年輕人3 (young persons) 二詞用來表示介於兒童期和成年人4 (adult age) 之間的男女。達到成熟期4 (maturity) 的人，叫作成年人5 (adults) 。老年6 (old age) 常常用來指大多數人在此時將要退休的那一生命時期。在此退休年齡7 (retirement age) 以上的人，叫作老年人8 (old people, the aged 或 the elderly) 。
備註：青年期一詞也用作集合詞。當它是作單數用時，通常是指男性。在美國，青少年是指十幾歲的人，即13歲至19歲之間的人。"
人口学词典,章节 3 • 人口的分布和分类,325,人口的年龄分布，可以用单岁年龄1 (individual years或age) 表示，也可以用年龄组2 (age groups) 来表示。年龄组可以是组距为五岁的年龄组3 (five-year age groups，也叫作 quinquennial age groups) ，也可以是宽组距年龄组4 (broad age groups) ，例如0-19岁，20-59岁，60岁以上。有时候，人口的年龄分布6 (age distribution) 或年龄结构6 (age structure) 是把人口按出生年5 (year of birth) 加以分组。年龄分布可以用人口金字塔7 (population pyramid) 形象地表示出来。人口金字塔是一个按年龄和性别表示出一个人口的状况的直方图(155-8)，因为典型的形状像一个金字塔而得名。,章節 3 • 人口的分佈和分類,人口的年齡分佈，可以用單歲年齡1 (individual years或age) 表示，也可以用年齡組2 (age groups) 來表示。年齡組可以是組距為五歲的年齡組3 (five-year age groups，也叫作 quinquennial age groups) ，也可以是寬組距年齡組4 (broad age groups) ，例如0-19歲，20-59歲，60歲以上。有時候，人口的年齡分佈6 (age distribution) 或年齡結構6 (age structure) 是把人口按出生年5 (year of birth) 加以分組。年齡分佈可以用人口金字塔7 (population pyramid) 形象地表示出來。人口金字塔是一個按年齡和性別表示出一個人口的狀況的直方圖(155-8)，因為典型的形狀像一個金字塔而得名。
